GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0600190","1950","California","060","Fresno","0190","Fresno","71","190",276515,"Increase 40% to 59%"
"G0600210","1950","California","060","Glenn","0210","Glenn","71","210",15448,"Increase 20% to 39%"
"G0600230","1950","California","060","Humboldt","0230","Humboldt","71","230",69241,"Increase 40% to 59%"
"G0600250","1950","California","060","Imperial","0250","Imperial","71","250",62975,"Increase 0% to 19%"
"G0600270","1950","California","060","Inyo","0270","Inyo","71","270",11658,"Increase 40% to 59%"
"G0600290","1950","California","060","Kern","0290","Kern","71","290",228309,"Increase 60% to 79%"
"G0600310","1950","California","060","Kings","0310","Kings","71","310",46768,"Increase 20% to 39%"
"G0600330","1950","California","060","Lake","0330","Lake","71","330",11481,"Increase 40% to 59%"
"G0600350","1950","California","060","Lassen","0350","Lassen","71","350",18474,"Increase 20% to 39%"
"G0600370","1950","California","060","Los Angeles","0370","Los Angeles","71","370",4151687,"Increase 40% to 59%"
"G0600390","1950","California","060","Madera","0390","Madera","71","390",36964,"Increase 40% to 59%"
"G0600410","1950","California","060","Marin","0410","Marin","71","410",85619,"Increase 60% to 79%"
"G0600430","1950","California","060","Mariposa","0430","Mariposa","71","430",5145,"Decrease 0% to 19%"
"G0600450","1950","California","060","Mendocino","0450","Mendocino","71","450",40854,"Increase 40% to 59%"
"G0600470","1950","California","060","Merced","0470","Merced","71","470",69780,"Increase 40% to 59%"
"G0600490","1950","California","060","Modoc","0490","Modoc","71","490",9678,"Increase 0% to 19%"
"G0600510","1950","California","060","Mono","0510","Mono","71","510",2115,"Decrease 0% to 19%"
"G0600530","1950","California","060","Monterey","0530","Monterey","71","530",130498,"Increase 60% to 79%"
"G0600550","1950","California","060","Napa","0550","Napa","71","550",46603,"Increase 60% to 79%"
"G0600570","1950","California","060","Nevada","0570","Nevada","71","570",19888,"Increase 0% to 19%"
