GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0800330","1900","Colorado","080","Dolores","0330","Dolores","62","330",1134,1134
"G0800350","1900","Colorado","080","Douglas","0350","Douglas","62","350",3120,3120
"G0800370","1900","Colorado","080","Eagle","0370","Eagle","62","370",3008,3008
"G0800390","1900","Colorado","080","Elbert","0390","Elbert","62","390",3101,3101
"G0800410","1900","Colorado","080","El Paso","0410","El Paso","62","410",31602,31602
"G0800430","1900","Colorado","080","Fremont","0430","Fremont","62","430",15636,15636
"G0800450","1900","Colorado","080","Garfield","0450","Garfield","62","450",5835,5835
"G0800470","1900","Colorado","080","Gilpin","0470","Gilpin","62","470",6690,6690
"G0800490","1900","Colorado","080","Grand","0490","Grand","62","490",741,741
"G0800510","1900","Colorado","080","Gunnison","0510","Gunnison","62","510",5331,5331
"G0800530","1900","Colorado","080","Hinsdale","0530","Hinsdale","62","530",1609,1609
"G0800550","1900","Colorado","080","Huerfano","0550","Huerfano","62","550",8395,8395
"G0800590","1900","Colorado","080","Jefferson","0590","Jefferson","62","590",9306,9306
"G0800610","1900","Colorado","080","Kiowa","0610","Kiowa","62","610",701,701
"G0800630","1900","Colorado","080","Kit Carson","0630","Kit Carson","62","630",1580,1580
"G0800650","1900","Colorado","080","Lake","0650","Lake","62","650",18054,18054
"G0800670","1900","Colorado","080","La Plata","0670","La Plata","62","670",7016,7016
"G0800690","1900","Colorado","080","Larimer","0690","Larimer","62","690",12168,12168
"G0800710","1900","Colorado","080","Las Animas","0710","Las Animas","62","710",21842,21842
"G0800730","1900","Colorado","080","Lincoln","0730","Lincoln","62","730",926,926
"G0800750","1900","Colorado","080","Logan","0750","Logan","62","750",3292,3292
"G0800770","1900","Colorado","080","Mesa","0770","Mesa","62","770",9267,9267
"G0800790","1900","Colorado","080","Mineral","0790","Mineral","62","790",1913,1913
"G0800830","1900","Colorado","080","Montezuma","0830","Montezuma","62","830",3058,3058
