GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0800550","1920","Colorado","080","Huerfano","0550","Huerfano","62","550",16879,16879
"G0800570","1920","Colorado","080","Jackson","0570","Jackson","62","570",1340,1340
"G0800590","1920","Colorado","080","Jefferson","0590","Jefferson","62","590",14400,14400
"G0800610","1920","Colorado","080","Kiowa","0610","Kiowa","62","610",3755,3755
"G0800630","1920","Colorado","080","Kit Carson","0630","Kit Carson","62","630",8915,8915
"G0800650","1920","Colorado","080","Lake","0650","Lake","62","650",6630,6630
"G0800670","1920","Colorado","080","La Plata","0670","La Plata","62","670",11218,11218
"G0800690","1920","Colorado","080","Larimer","0690","Larimer","62","690",27872,27872
"G0800710","1920","Colorado","080","Las Animas","0710","Las Animas","62","710",38975,38975
"G0800730","1920","Colorado","080","Lincoln","0730","Lincoln","62","730",8273,8273
"G0800750","1920","Colorado","080","Logan","0750","Logan","62","750",18427,18427
"G0800770","1920","Colorado","080","Mesa","0770","Mesa","62","770",22281,22281
"G0800790","1920","Colorado","080","Mineral","0790","Mineral","62","790",779,779
"G0800810","1920","Colorado","080","Moffat","0810","Moffat","62","810",5129,5129
"G0800830","1920","Colorado","080","Montezuma","0830","Montezuma","62","830",6260,6260
"G0800850","1920","Colorado","080","Montrose","0850","Montrose","62","850",11852,11852
"G0800870","1920","Colorado","080","Morgan","0870","Morgan","62","870",16124,16124
"G0800890","1920","Colorado","080","Otero","0890","Otero","62","890",22623,22623
"G0800910","1920","Colorado","080","Ouray","0910","Ouray","62","910",2620,2620
"G0800930","1920","Colorado","080","Park","0930","Park","62","930",1977,1977
"G0800950","1920","Colorado","080","Phillips","0950","Phillips","62","950",5499,5499
"G0800970","1920","Colorado","080","Pitkin","0970","Pitkin","62","970",2707,2707
"G0800990","1920","Colorado","080","Prowers","0990","Prowers","62","990",13845,13845
"G0801010","1920","Colorado","080","Pueblo","1010","Pueblo","62","1010",57638,57638
"G0801030","1920","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",3135,3135
